cnt_DstIP,cnt_DstPrt,cnt_PktCntCtgry,cnt_Proto,cnt_SrcIP,cnt_SrcPrt,len_DstIP,len_DstPrt,len_PktCntCtgry,len_Proto,len_SrcIP,len_SrcPrt,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
0.5783250331878662,1.0877612829208374,0.0,0.0,1.0062146186828613,2.63934063911438,0.5647926330566406,1.1125755310058594,0.0,0.0,1.0255136489868164,2.6245012283325195,70.0
0.20419931411743164,0.5459499359130859,0.0,0.0,0.4667332172393799,4.133535385131836,0.23337650299072266,0.5351433753967285,0.0,0.0,0.4691286087036133,4.145567893981934,80.0
1.3533974885940552,1.4474444389343262,0.0,0.0,1.203308343887329,2.791341781616211,0.6414279937744141,1.6230883598327637,0.0,0.0,0.7531676292419434,1.0956363677978516,90.0
0.7254154682159424,0.6652343273162842,0.0,0.0,0.6467504501342773,4.273543834686279,0.7740716934204102,0.9005904197692871,0.0,0.0,0.8618416786193848,4.1322126388549805,100.0
0.2530674934387207,0.8583343029022217,0.0,0.0,0.7355425357818604,4.002013206481934,0.1614236831665039,1.621800422668457,0.0,0.0,0.9588375091552734,2.284914970397949,110.0
1.414320468902588,0.9269387722015381,0.0,0.0,0.8836171627044678,3.4224143028259277,1.5005364418029785,0.9158086776733398,0.0,0.0,0.8738980293273926,3.41780948638916,120.0
0.7094998359680176,1.015012502670288,2.384185791015625e-07,2.384185791015625e-07,0.910386323928833,3.767451047897339,0.758427619934082,1.0580377578735352,0.0,0.0,0.9488143920898438,3.756373882293701,130.0
1.0706734657287598,1.606766939163208,0.0,0.0,1.3873834609985352,3.8942933082580566,1.1121907234191895,1.6168198585510254,0.0,0.0,1.3895702362060547,3.8931961059570312,140.0
1.6599392890930176,1.7174752950668335,0.0,0.0,1.424842119216919,2.423725128173828,0.6701793670654297,1.95151948928833,0.0,0.0,1.115746021270752,0.8623275756835938,150.0
0.46782469749450684,0.9114885330200195,0.0,0.0,0.7473757266998291,4.180587291717529,0.5237817764282227,0.8807435035705566,0.0,0.0,0.7390389442443848,4.210817337036133,160.0
0.6879162788391113,0.8707771301269531,0.0,0.0,0.721463680267334,4.127352714538574,0.7458739280700684,1.0151262283325195,0.0,0.0,0.8213777542114258,4.0506181716918945,170.0
0.47875308990478516,0.8201782703399658,0.0,0.0,0.7394518852233887,3.9216983318328857,0.537482738494873,0.8750967979431152,0.0,0.0,0.7909088134765625,3.912766933441162,180.0
0.40053820610046387,0.7464785575866699,0.0,0.0,0.7212731838226318,3.861020803451538,0.4058084487915039,0.7607321739196777,-4.76837158203125e-07,-4.76837158203125e-07,0.7335906028747559,3.8565120697021484,190.0
0.43056797981262207,1.1230413913726807,0.0,0.0,0.9737279415130615,3.910320997238159,0.4502229690551758,1.160611629486084,0.0,0.0,1.0017971992492676,3.894711971282959,200.0
0.17632603645324707,0.41408681869506836,0.0,0.0,0.41408681869506836,3.9852294921875,0.1874852180480957,0.42215585708618164,-4.76837158203125e-07,-4.76837158203125e-07,0.42215585708618164,3.985283613204956,210.0
0.16702604293823242,0.3927431106567383,0.0,0.0,0.3927431106567383,4.0568437576293945,0.17766475677490234,0.4005270004272461,0.0,0.0,0.4005270004272461,4.056883811950684,220.0
0.16068077087402344,0.4381418228149414,2.384185791015625e-07,2.384185791015625e-07,0.37595629692077637,3.9081063270568848,0.09200382232666016,1.4334807395935059,0.0,0.0,0.7203025817871094,2.0197877883911133,230.0
0.0700540542602539,0.0700540542602539,0.0,0.0,0.0700540542602539,4.330733299255371,0.0746774673461914,0.0746774673461914,0.0,0.0,0.0746774673461914,4.330690383911133,240.0
0.0825653076171875,0.16486525535583496,0.0,0.0,0.16486525535583496,4.127134323120117,0.08784675598144531,0.1753830909729004,0.0,0.0,0.1753830909729004,4.1270294189453125,250.0
0.3219788074493408,0.5340802669525146,0.0,0.0,0.5150899887084961,4.214498519897461,0.31820058822631836,0.5355668067932129,0.0,0.0,0.5149936676025391,4.212361812591553,260.0
0.18750524520874023,0.2990245819091797,0.0,0.0,0.2990245819091797,4.338935852050781,0.17725849151611328,0.27150726318359375,0.0,0.0,0.27150726318359375,4.341010093688965,270.0
0.0,0.17389678955078125,0.0,0.0,0.17389678955078125,4.03654146194458,4.76837158203125e-07,0.16799306869506836,4.76837158203125e-07,4.76837158203125e-07,0.16799306869506836,4.037474632263184,280.0
0.0,0.0,0.0,0.0,0.0,4.204692840576172,0.0,0.0,0.0,0.0,0.0,4.204692840576172,290.0
0.0,0.07081031799316406,0.0,0.0,0.07081031799316406,4.317488193511963,0.0,0.07547950744628906,0.0,0.0,0.07547950744628906,4.317444324493408,300.0
0.0678868293762207,0.33779191970825195,0.0,0.0678868293762207,0.33779191970825195,4.29925537109375,0.10176849365234375,0.36038875579833984,0.0,0.10176849365234375,0.36038875579833984,4.300256729125977,310.0
